sample	query	model	description	bitscore	evalue
GCF_001548195.1	PI172_RS02185	PF01867.16	CRISPR associated protein Cas1	100.0	4.3e-31
GCF_001548235.1	RM6536_RS08430	PF13280.6	WYL domain	95.6	1.1e-29
GCF_001548235.1	RM6536_RS00405	PF01930.17	Domain of unknown function DUF83	77.9	3e-24
GCF_001548235.1	RM6536_RS00405	PF01867.16	CRISPR associated protein Cas1	266.6	7.5e-82
GCF_001548235.1	RM6536_RS00400	PF09827.9	CRISPR associated protein Cas2	62.6	9.7e-20
GCF_001548235.1	RM6536_RS00390	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	103.5	3.8e-32
GCF_001548255.1	SSCHL_RS00340	PF18211.1	Csm1 subunit domain B	125.3	2.1e-39
GCF_001548255.1	SSCHL_RS00345	PF03750.13	Csm2 Type III-A	77.0	6.9e-24
GCF_001548255.1	SSCHL_RS00350	PF03787.15	RAMP superfamily	65.7	2e-20
GCF_001548255.1	SSCHL_RS00355	PF17953.1	CRISPR Csm4 C-terminal domain	99.0	3.5e-31
GCF_001548255.1	SSCHL_RS00330	PF01867.16	CRISPR associated protein Cas1	91.5	1.7e-28
GCF_001548255.1	SSCHL_RS07230	PF01867.16	CRISPR associated protein Cas1	100.5	3.1e-31
GCF_001548255.1	SSCHL_RS07235	PF18061.1	CRISPR-Cas9 WED domain	124.5	1e-38
GCF_001548255.1	SSCHL_RS00360	PF03787.15	RAMP superfamily	63.2	1.1e-19
GCF_001548255.1	SSCHL_RS07235	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	61.9	1.6e-19
GCF_001549695.1	NK6_RS10515	PF13280.6	WYL domain	123.6	2.8e-38
GCF_001553195.1	AXW82_RS01310	PF01867.16	CRISPR associated protein Cas1	99.4	6.4e-31
GCF_001553545.1	AXF12_RS05690	PF13280.6	WYL domain	112.1	1e-34
GCF_001553565.1	AXF14_RS10680	PF13280.6	WYL domain	92.1	1.4e-28
GCF_001553565.1	AXF14_RS10675	PF13280.6	WYL domain	86.8	5.8e-27
GCF_001553605.1	AXF13_RS15330	PF13280.6	WYL domain	62.8	1.4e-19
GCF_001553625.1	AXF15_RS04940	PF18211.1	Csm1 subunit domain B	60.1	4.9e-19
GCF_001553625.1	AXF15_RS10410	PF09827.9	CRISPR associated protein Cas2	82.8	5e-26
GCF_001553625.1	AXF15_RS10415	PF01867.16	CRISPR associated protein Cas1	330.4	2.6e-101
GCF_001553625.1	AXF15_RS10425	PF01930.17	Domain of unknown function DUF83	130.1	2.6e-40
GCF_001553625.1	AXF15_RS10430	PF05107.12	CRISPR-associated protein Cas7	249.7	1.1e-76
GCF_001553625.1	AXF15_RS10435	PF09709.10	CRISPR-associated protein (Cas_Csd1)	437.5	2.5e-133
GCF_001553625.1	AXF15_RS10440	PF09704.10	CRISPR-associated protein (Cas_Cas5)	168.1	8.3e-52
GCF_001553625.1	AXF15_RS04915	PF01867.16	CRISPR associated protein Cas1	274.7	2.5e-84
GCF_001553625.1	AXF15_RS04910	PF09827.9	CRISPR associated protein Cas2	77.5	2.2e-24
GCF_001553625.1	AXF15_RS04895	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	129.6	4.3e-40
GCF_001553935.1	AXE84_RS11035	PF13280.6	WYL domain	68.4	2.6e-21
GCF_001553935.1	AXE84_RS04590	PF13280.6	WYL domain	96.4	6.5e-30
GCF_001553935.1	AXE84_RS02750	PF03787.15	RAMP superfamily	64.5	4.5e-20
GCF_001553935.1	AXE84_RS11040	PF13280.6	WYL domain	89.0	1.2e-27
GCF_001553955.1	AXE82_RS07800	PF13280.6	WYL domain	88.3	2e-27
GCF_001553955.1	AXE82_RS02635	PF13280.6	WYL domain	71.8	2.3e-22
GCF_001553955.1	AXE82_RS04855	PF09618.10	CRISPR-associated protein (Cas_Csy4)	150.8	1.5e-46
GCF_001553955.1	AXE82_RS04950	PF09614.10	CRISPR-associated protein (Cas_Csy2)	68.5	2e-21
GCF_001553955.1	AXE82_RS04955	PF09615.10	CRISPR-associated protein (Cas_Csy3)	291.7	2.5e-89
GCF_001553955.1	AXE82_RS04960	PF09618.10	CRISPR-associated protein (Cas_Csy4)	87.0	5.5e-27
GCF_001558255.2	AL542_RS03725	PF13280.6	WYL domain	65.0	2.9e-20
GCF_001558415.2	AL536_RS26705	PF09611.10	CRISPR-associated protein (Cas_Csy1)	288.8	2.2e-88
GCF_001558415.2	AL536_RS28960	PF09615.10	CRISPR-associated protein (Cas_Csy3)	218.6	4.4e-67
GCF_001558415.2	AL536_RS28965	PF09618.10	CRISPR-associated protein (Cas_Csy4)	88.4	2.1e-27
GCF_001558415.2	AL536_RS33865	PF09615.10	CRISPR-associated protein (Cas_Csy3)	218.6	4.4e-67
GCF_001558415.2	AL536_RS26690	PF09618.10	CRISPR-associated protein (Cas_Csy4)	157.3	1.6e-48
GCF_001558415.2	AL536_RS26695	PF09615.10	CRISPR-associated protein (Cas_Csy3)	496.9	9.6e-152
GCF_001558415.2	AL536_RS33870	PF09618.10	CRISPR-associated protein (Cas_Csy4)	74.7	3.5e-23
GCF_001558415.2	AL536_RS26700	PF09614.10	CRISPR-associated protein (Cas_Csy2)	361.3	1.3e-110
GCF_001558435.2	AL538_RS00320	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	65.6	2.2e-20
GCF_001558435.2	AL538_RS09530	PF13280.6	WYL domain	68.0	3.4e-21
GCF_001558435.2	AL538_RS00325	PF09344.10	CT1975-like protein	346.1	1e-105
GCF_001558435.2	AL538_RS00315	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	310.5	7.5e-95
GCF_001558435.2	AL538_RS00330	PF09704.10	CRISPR-associated protein (Cas_Cas5)	155.3	7e-48
GCF_001558435.2	AL538_RS00345	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	122.3	2.2e-38
GCF_001558435.2	AL538_RS00340	PF01867.16	CRISPR associated protein Cas1	62.4	1.2e-19
GCF_001558435.2	AL538_RS00335	PF08798.11	CRISPR associated protein	169.3	4.5e-52
GCF_001558435.2	AL538_RS22625	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	188.3	4.5e-58
GCF_001558855.2	AL507_RS07315	PF09611.10	CRISPR-associated protein (Cas_Csy1)	329.9	6.8e-101
GCF_001558855.2	AL507_RS07305	PF09615.10	CRISPR-associated protein (Cas_Csy3)	493.6	9.3e-151
GCF_001558855.2	AL507_RS07300	PF09618.10	CRISPR-associated protein (Cas_Csy4)	142.2	6.5e-44
GCF_001558855.2	AL507_RS11215	PF13280.6	WYL domain	84.6	2.7e-26
GCF_001558855.2	AL507_RS07310	PF09614.10	CRISPR-associated protein (Cas_Csy2)	324.4	2.3e-99
GCF_001558875.2	AL523_RS08065	PF13280.6	WYL domain	106.5	5.1e-33
GCF_001558875.2	AL523_RS16660	PF13280.6	WYL domain	95.4	1.3e-29
GCF_001558895.2	AL531_RS09895	PF09611.10	CRISPR-associated protein (Cas_Csy1)	183.5	2e-56
GCF_001558895.2	AL531_RS09890	PF09614.10	CRISPR-associated protein (Cas_Csy2)	210.0	1.6e-64
GCF_001558895.2	AL531_RS09885	PF09615.10	CRISPR-associated protein (Cas_Csy3)	355.9	7.7e-109
GCF_001558895.2	AL531_RS09880	PF09618.10	CRISPR-associated protein (Cas_Csy4)	92.8	9.1e-29
GCF_001558915.1	AL520_RS11810	PF13280.6	WYL domain	105.8	8.5e-33
GCF_001558935.2	AL524_RS47015	PF13280.6	WYL domain	68.5	2.4e-21
GCF_001559015.1	SGRAN_RS15635	PF01867.16	CRISPR associated protein Cas1	119.2	5.9e-37
GCF_001559075.2	AL479_RS14960	PF13280.6	WYL domain	61.0	4.7e-19
GCF_001561955.1	CPRO_RS06140	PF13280.6	WYL domain	131.3	1.2e-40
GCF_001561955.1	CPRO_RS09455	PF13280.6	WYL domain	113.5	3.6e-35
GCF_001561955.1	CPRO_RS09460	PF13280.6	WYL domain	114.4	1.9e-35
GCF_001561975.1	AW169_RS13340	PF13280.6	WYL domain	181.8	3.9e-56
GCF_001563225.1	AWY79_RS16045	PF09704.10	CRISPR-associated protein (Cas_Cas5)	154.9	9.1e-48
GCF_001563225.1	AWY79_RS16030	PF01930.17	Domain of unknown function DUF83	119.9	3.7e-37
GCF_001563225.1	AWY79_RS16035	PF05107.12	CRISPR-associated protein Cas7	375.6	4e-115
GCF_001563225.1	AWY79_RS16040	PF09709.10	CRISPR-associated protein (Cas_Csd1)	516.2	3.7e-157
GCF_001563225.1	AWY79_RS16020	PF09827.9	CRISPR associated protein Cas2	87.4	1.9e-27
GCF_001563225.1	AWY79_RS16025	PF01867.16	CRISPR associated protein Cas1	336.8	2.8e-103
GCF_001564415.1	XADLMG695_RS13040	PF13280.6	WYL domain	79.4	1.1e-24
GCF_001564415.1	XADLMG695_RS07205	PF13280.6	WYL domain	133.0	3.6e-41
GCF_001564455.1	aalo17_RS00660	PF01881.16	CRISPR associated protein Cas6	80.3	6.8e-25
GCF_001564455.1	aalo17_RS10600	PF09704.10	CRISPR-associated protein (Cas_Cas5)	160.9	1.4e-49
GCF_001564455.1	aalo17_RS00695	PF09455.10	CRISPR-associated (Cas) DxTHG family	88.9	1.6e-27
GCF_001564455.1	aalo17_RS05765	PF13280.6	WYL domain	85.9	1.1e-26
GCF_001564455.1	aalo17_RS10595	PF08798.11	CRISPR associated protein	185.0	7.4e-57
GCF_001564455.1	aalo17_RS00655	PF01867.16	CRISPR associated protein Cas1	251.5	2.9e-77
GCF_001564455.1	aalo17_RS10620	PF18395.1	Cas3 C-terminal domain	69.5	1e-21
GCF_001564455.1	aalo17_RS10605	PF09344.10	CT1975-like protein	411.4	1.5e-125
GCF_001564455.1	aalo17_RS10615	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	303.9	7.6e-93
GCF_001564455.1	aalo17_RS10610	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	114.4	1.9e-35
GCF_001564455.1	aalo17_RS10585	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	101.2	8.3e-32
GCF_001577305.1	SA2016_RS10140	PF13280.6	WYL domain	168.3	5.5e-52
GCF_001577305.1	SA2016_RS18350	PF13280.6	WYL domain	119.9	4e-37
GCF_001577385.1	Salbus254_RS14520	PF13280.6	WYL domain	92.5	1e-28
GCF_001577385.1	Salbus254_RS16620	PF13280.6	WYL domain	135.5	6.3e-42
GCF_001577385.1	Salbus254_RS26820	PF13280.6	WYL domain	99.5	7.4e-31
GCF_001577385.1	Salbus254_RS26205	PF13280.6	WYL domain	88.6	1.6e-27
GCF_001577385.1	Salbus254_RS24355	PF13280.6	WYL domain	141.1	1.2e-43
GCF_001577385.1	Salbus254_RS17465	PF13280.6	WYL domain	71.1	3.8e-22
GCF_001577385.1	Salbus254_RS26825	PF13280.6	WYL domain	99.9	5.6e-31
GCF_001577525.1	HS1_RS05595	PF18211.1	Csm1 subunit domain B	82.8	4e-26
GCF_001577525.1	HS1_RS07135	PF01881.16	CRISPR associated protein Cas6	136.9	2.5e-42
GCF_001577525.1	HS1_RS05530	PF09455.10	CRISPR-associated (Cas) DxTHG family	263.8	1.1e-80
GCF_001577525.1	HS1_RS05540	PF01867.16	CRISPR associated protein Cas1	315.0	1.3e-96
GCF_001577525.1	HS1_RS05550	PF09827.9	CRISPR associated protein Cas2	76.3	5.4e-24
GCF_001577525.1	HS1_RS05345	PF03787.15	RAMP superfamily	79.8	9.6e-25
GCF_001577525.1	HS1_RS05365	PF10040.9	CRISPR-associated endoribonuclease Cas6	61.3	3.6e-19
GCF_001577525.1	HS1_RS05545	PF09827.9	CRISPR associated protein Cas2	85.0	1e-26
GCF_001577525.1	HS1_RS05320	PF01867.16	CRISPR associated protein Cas1	67.7	2.9e-21
GCF_001577525.1	HS1_RS07935	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	431.6	1.9e-131
GCF_001577525.1	HS1_RS07960	PF01930.17	Domain of unknown function DUF83	188.7	2.6e-58
GCF_001577525.1	HS1_RS07980	PF09827.9	CRISPR associated protein Cas2	73.1	5.2e-23
GCF_001577525.1	HS1_RS05315	PF09827.9	CRISPR associated protein Cas2	82.4	6.7e-26
GCF_001577525.1	HS1_RS07975	PF01867.16	CRISPR associated protein Cas1	311.4	1.7e-95
GCF_001577525.1	HS1_RS07940	PF05107.12	CRISPR-associated protein Cas7	214.0	8.2e-66
GCF_001577795.1	TW87_RS17800	PF09827.9	CRISPR associated protein Cas2	80.9	1.9e-25
GCF_001577795.1	TW87_RS05240	PF13280.6	WYL domain	126.9	2.8e-39
GCF_001577795.1	TW87_RS18665	PF13280.6	WYL domain	90.6	4e-28
GCF_001577795.1	TW87_RS10275	PF13280.6	WYL domain	78.5	2.1e-24
GCF_001577795.1	TW87_RS17825	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	112.3	7.1e-35
GCF_001577795.1	TW87_RS17810	PF01930.17	Domain of unknown function DUF83	179.5	1.8e-55
GCF_001577795.1	TW87_RS15440	PF01881.16	CRISPR associated protein Cas6	91.9	1.8e-28
GCF_001577795.1	TW87_RS17840	PF13280.6	WYL domain	127.2	2.2e-39
GCF_001577795.1	TW87_RS17805	PF01867.16	CRISPR associated protein Cas1	300.9	2.6e-92
GCF_001577795.1	TW87_RS17835	PF01881.16	CRISPR associated protein Cas6	91.9	1.9e-28
GCF_001577795.1	TW87_RS17830	PF09706.10	CRISPR-associated protein (Cas_CXXC_CXXC)	87.6	1.6e-27
GCF_001578165.1	UP15_RS15475	PF13280.6	WYL domain	88.2	2.1e-27
GCF_001578165.1	UP15_RS09680	PF13280.6	WYL domain	109.4	6.6e-34
GCF_001578205.1	UP12_RS15325	PF13280.6	WYL domain	84.3	3.3e-26
GCF_001578205.1	UP12_RS09415	PF13280.6	WYL domain	102.1	1.1e-31
GCF_001579945.1	ACG33_RS00115	PF09709.10	CRISPR-associated protein (Cas_Csd1)	489.1	6.1e-149
GCF_001579945.1	ACG33_RS00110	PF09704.10	CRISPR-associated protein (Cas_Cas5)	132.5	6.6e-41
GCF_001579945.1	ACG33_RS00125	PF01930.17	Domain of unknown function DUF83	118.5	1e-36
GCF_001579945.1	ACG33_RS00130	PF01867.16	CRISPR associated protein Cas1	347.5	1.6e-106
GCF_001579945.1	ACG33_RS00120	PF05107.12	CRISPR-associated protein Cas7	361.0	1.1e-110
GCF_001579945.1	ACG33_RS00135	PF09827.9	CRISPR associated protein Cas2	82.5	6.3e-26
GCF_001580365.1	AYX06_RS10530	PF13280.6	WYL domain	101.5	1.8e-31
GCF_001580365.1	AYX06_RS02370	PF13280.6	WYL domain	169.9	1.7e-52
GCF_001580475.1	UN65_RS03665	PF09827.9	CRISPR associated protein Cas2	67.7	2.5e-21
GCF_001580475.1	UN65_RS03670	PF01867.16	CRISPR associated protein Cas1	93.2	5.2e-29
GCF_001580475.1	UN65_RS07190	PF13280.6	WYL domain	86.0	1e-26
GCF_001583415.1	MPHLCCUG_RS13280	PF13280.6	WYL domain	117.1	2.8e-36
GCF_001583415.1	MPHLCCUG_RS13285	PF13280.6	WYL domain	104.2	2.6e-32
GCF_001583415.1	MPHLCCUG_RS06050	PF13280.6	WYL domain	114.7	1.5e-35
GCF_001583435.1	EZMO1_RS19255	PF09344.10	CT1975-like protein	291.8	3.3e-89
GCF_001583435.1	EZMO1_RS10720	PF01867.16	CRISPR associated protein Cas1	197.3	9.9e-61
GCF_001583435.1	EZMO1_RS19300	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	78.8	7.9e-25
GCF_001583435.1	EZMO1_RS10530	PF01867.16	CRISPR associated protein Cas1	199.2	2.5e-61
GCF_001583435.1	EZMO1_RS19290	PF01867.16	CRISPR associated protein Cas1	69.4	8.9e-22
GCF_001583435.1	EZMO1_RS10520	PF01867.16	CRISPR associated protein Cas1	191.6	5.2e-59
GCF_001583435.1	EZMO1_RS19260	PF09704.10	CRISPR-associated protein (Cas_Cas5)	132.9	4.8e-41
GCF_001583435.1	EZMO1_RS01750	PF05107.12	CRISPR-associated protein Cas7	180.3	1.6e-55
GCF_001583435.1	EZMO1_RS10735	PF01867.16	CRISPR associated protein Cas1	132.3	6.1e-41
GCF_001583435.1	EZMO1_RS10540	PF09652.10	Putative CRISPR-associated protein (Cas_VVA1548)	110.3	1.4e-34
GCF_001583435.1	EZMO1_RS10545	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	198.3	4e-61
GCF_001583435.1	EZMO1_RS10555	PF12469.8	CRISPR-associated protein	71.6	1.9e-22
GCF_001583435.1	EZMO1_RS10560	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	166.5	3.9e-51
GCF_001583435.1	EZMO1_RS10570	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	104.7	1.2e-32
GCF_001583435.1	EZMO1_RS10620	PF09652.10	Putative CRISPR-associated protein (Cas_VVA1548)	85.3	8.6e-27
GCF_001583435.1	EZMO1_RS10685	PF13280.6	WYL domain	64.5	4.1e-20
GCF_001583435.1	EZMO1_RS01745	PF09709.10	CRISPR-associated protein (Cas_Csd1)	228.6	5.2e-70
GCF_001583435.1	EZMO1_RS01740	PF09704.10	CRISPR-associated protein (Cas_Cas5)	71.6	2.8e-22
GCF_001583435.1	EZMO1_RS19245	PF08798.11	CRISPR associated protein	108.6	1.6e-33
GCF_001584145.1	CFter6_RS00945	PF13280.6	WYL domain	101.0	2.5e-31
GCF_001584165.1	CAter10_RS00620	PF13280.6	WYL domain	94.2	3.1e-29
GCF_001584185.1	CPter91_RS00730	PF13280.6	WYL domain	105.9	8e-33
GCF_001584205.1	CAter282_RS00615	PF13280.6	WYL domain	94.2	3.1e-29
GCF_001584225.1	CPter291_RS00765	PF13280.6	WYL domain	106.2	6.2e-33
GCF_001586155.1	PcP3B5_RS30885	PF13280.6	WYL domain	96.6	5.5e-30
GCF_001586165.1	DSM2777_RS05950	PF13280.6	WYL domain	82.9	9.3e-26
GCF_001586215.1	WM42_RS00395	PF13280.6	WYL domain	110.4	3.3e-34
GCF_001586215.1	WM42_RS07305	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	98.4	6.3e-31
GCF_001586215.1	WM42_RS07325	PF09344.10	CT1975-like protein	262.0	3.8e-80
GCF_001586215.1	WM42_RS07320	PF09704.10	CRISPR-associated protein (Cas_Cas5)	73.7	6.3e-23
GCF_001586215.1	WM42_RS13025	PF08798.11	CRISPR associated protein	109.8	7.4e-34
GCF_001586215.1	WM42_RS07335	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	74.1	4.1e-23
GCF_001586215.1	WM42_RS00400	PF13280.6	WYL domain	86.3	8.4e-27
GCF_001586215.1	WM42_RS07310	PF01867.16	CRISPR associated protein Cas1	69.3	1e-21
GCF_001586235.1	AWU68_RS10165	PF08798.11	CRISPR associated protein	209.6	2.2e-64
GCF_001586235.1	AWU68_RS10155	PF09344.10	CT1975-like protein	395.8	8.1e-121
GCF_001586235.1	AWU68_RS01100	PF13280.6	WYL domain	86.8	5.7e-27
GCF_001586235.1	AWU68_RS10145	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	329.7	1.1e-100
GCF_001586235.1	AWU68_RS01095	PF13280.6	WYL domain	109.4	6.5e-34
GCF_001586235.1	AWU68_RS12245	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	108.0	6.1e-34
GCF_001586235.1	AWU68_RS10150	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	105.4	1.1e-32
GCF_001586235.1	AWU68_RS12240	PF18395.1	Cas3 C-terminal domain	91.2	1.9e-28
GCF_001586235.1	AWU68_RS10160	PF09704.10	CRISPR-associated protein (Cas_Cas5)	167.4	1.4e-51
GCF_001586255.1	AZF00_RS06420	PF09611.10	CRISPR-associated protein (Cas_Csy1)	369.5	6.3e-113
GCF_001586255.1	AZF00_RS06435	PF09618.10	CRISPR-associated protein (Cas_Csy4)	144.7	1.1e-44
GCF_001586255.1	AZF00_RS06390	PF13280.6	WYL domain	121.8	1.1e-37
GCF_001586255.1	AZF00_RS06425	PF09614.10	CRISPR-associated protein (Cas_Csy2)	324.4	2.3e-99
GCF_001586255.1	AZF00_RS06430	PF09615.10	CRISPR-associated protein (Cas_Csy3)	459.9	1.7e-140
GCF_001590605.1	AY601_RS04195	PF13280.6	WYL domain	103.7	3.8e-32
GCF_001590605.1	AY601_RS06015	PF01867.16	CRISPR associated protein Cas1	101.6	1.4e-31
GCF_001590655.1	A0F16_RS06975	PF13280.6	WYL domain	77.8	3.4e-24
GCF_001590685.1	AZE41_RS14910	PF13280.6	WYL domain	95.4	1.3e-29
GCF_001590685.1	AZE41_RS11465	PF13280.6	WYL domain	103.3	4.9e-32
GCF_001593665.2	APS58_RS10415	PF13280.6	WYL domain	62.4	1.9e-19
GCF_001596075.2	AVR78_RS25365	PF13280.6	WYL domain	69.6	1.1e-21
GCF_001596775.2	AXF54_RS13165	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	146.4	4.7e-45
GCF_001596775.2	AXF54_RS12330	PF13280.6	WYL domain	88.7	1.5e-27
GCF_001596775.2	AXF54_RS13160	PF01867.16	CRISPR associated protein Cas1	95.5	1e-29
GCF_001596775.2	AXF54_RS13150	PF09711.10	CRISPR-associated protein (Cas_Csn2)	212.5	1.2e-65
GCF_001596775.2	AXF54_RS01935	PF13280.6	WYL domain	91.9	1.5e-28
GCF_001596775.2	AXF54_RS01875	PF13280.6	WYL domain	78.8	1.7e-24
GCF_001596775.2	AXF54_RS13165	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	599.3	2.4e-182
GCF_001598035.1	A2G56_RS04365	PF09827.9	CRISPR associated protein Cas2	86.3	4e-27
GCF_001598035.1	A2G56_RS04370	PF01867.16	CRISPR associated protein Cas1	331.6	1.1e-101
GCF_001598035.1	A2G56_RS06355	PF13280.6	WYL domain	67.5	4.7e-21
GCF_001598035.1	A2G56_RS02990	PF09659.10	CRISPR-associated protein (Cas_Csm6)	82.8	6.9e-26
GCF_001598035.1	A2G56_RS04375	PF01930.17	Domain of unknown function DUF83	97.3	3.3e-30
GCF_001598035.1	A2G56_RS04380	PF05107.12	CRISPR-associated protein Cas7	270.0	6.7e-83
GCF_001598035.1	A2G56_RS04385	PF09709.10	CRISPR-associated protein (Cas_Csd1)	251.3	6.7e-77
GCF_001598035.1	A2G56_RS04390	PF09704.10	CRISPR-associated protein (Cas_Cas5)	90.3	5.4e-28
GCF_001598075.1	A1T07_RS22935	PF09704.10	CRISPR-associated protein (Cas_Cas5)	115.4	1.1e-35
GCF_001598075.1	A1T07_RS15535	PF13280.6	WYL domain	82.7	1.1e-25
GCF_001598075.1	A1T07_RS15960	PF13280.6	WYL domain	88.8	1.5e-27
GCF_001598075.1	A1T07_RS22505	PF13280.6	WYL domain	109.5	6.2e-34
GCF_001598075.1	A1T07_RS22940	PF09709.10	CRISPR-associated protein (Cas_Csd1)	393.3	6.5e-120
GCF_001598075.1	A1T07_RS22945	PF05107.12	CRISPR-associated protein Cas7	265.2	2e-81
GCF_001598075.1	A1T07_RS14385	PF13280.6	WYL domain	99.9	5.3e-31
GCF_001605015.1	AA2016_RS07550	PF13280.6	WYL domain	64.7	3.5e-20
GCF_001605725.1	ABG82_RS11585	PF13280.6	WYL domain	110.5	3e-34
GCF_001605725.1	ABG82_RS11580	PF13280.6	WYL domain	104.8	1.7e-32
GCF_001606005.1	A2T55_RS14370	PF13280.6	WYL domain	91.5	2.1e-28
GCF_001606005.1	A2T55_RS09280	PF13280.6	WYL domain	72.3	1.6e-22
GCF_001606005.1	A2T55_RS02555	PF13280.6	WYL domain	104.8	1.8e-32
GCF_001606005.1	A2T55_RS14435	PF13280.6	WYL domain	66.3	1.2e-20
GCF_001606025.1	A3K91_RS05135	PF13280.6	WYL domain	72.1	1.9e-22
GCF_001606025.1	A3K91_RS08225	PF13280.6	WYL domain	86.5	7.3e-27
GCF_001606235.1	A3N97_RS10170	PF13280.6	WYL domain	103.0	6.3e-32
GCF_001606235.1	A3N97_RS10175	PF13280.6	WYL domain	116.2	5.4e-36
GCF_001606315.1	A3O01_RS10840	PF13280.6	WYL domain	102.4	9.4e-32
GCF_001606315.1	A3O01_RS10845	PF13280.6	WYL domain	116.2	5.4e-36
GCF_001610635.1	A3O04_RS10680	PF13280.6	WYL domain	103.0	6.3e-32
GCF_001610635.1	A3O04_RS10685	PF13280.6	WYL domain	116.2	5.4e-36
GCF_001610815.1	TP50_RS16530	PF13280.6	WYL domain	73.2	8.6e-23
GCF_001610815.1	TP50_RS07170	PF13280.6	WYL domain	133.0	3.6e-41
GCF_001610995.1	ATM17_RS18260	PF13280.6	WYL domain	105.0	1.5e-32
GCF_001610995.1	ATM17_RS04105	PF13280.6	WYL domain	95.8	1e-29
GCF_001611015.1	ATN79_RS26715	PF13280.6	WYL domain	142.2	5.5e-44
GCF_001611035.1	ADU69_RS03485	PF13280.6	WYL domain	78.5	2.1e-24
GCF_001611035.1	ADU69_RS03150	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	158.4	1e-48
GCF_001611035.1	ADU69_RS03150	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	504.2	1.5e-153
GCF_001611035.1	ADU69_RS03145	PF01867.16	CRISPR associated protein Cas1	99.9	4.5e-31
GCF_001611035.1	ADU69_RS03140	PF09827.9	CRISPR associated protein Cas2	64.1	3.3e-20
GCF_001611075.1	ADU70_RS05770	PF09827.9	CRISPR associated protein Cas2	64.8	2.1e-20
GCF_001611075.1	ADU70_RS05775	PF01867.16	CRISPR associated protein Cas1	102.3	8.5e-32
GCF_001611075.1	ADU70_RS05785	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	504.1	1.7e-153
GCF_001611075.1	ADU70_RS05785	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	158.4	1e-48
GCF_001611075.1	ADU70_RS07430	PF13280.6	WYL domain	78.5	2.1e-24
GCF_001611115.1	ADU71_RS03130	PF01867.16	CRISPR associated protein Cas1	99.9	4.5e-31
GCF_001611115.1	ADU71_RS03125	PF09827.9	CRISPR associated protein Cas2	64.1	3.3e-20
GCF_001611115.1	ADU71_RS03470	PF13280.6	WYL domain	78.5	2.1e-24
GCF_001611115.1	ADU71_RS03135	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	504.2	1.5e-153
GCF_001611115.1	ADU71_RS03135	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	158.4	1e-48
GCF_001611135.1	ADU72_RS04030	PF13280.6	WYL domain	78.5	2.1e-24
GCF_001611135.1	ADU72_RS05710	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	504.1	1.7e-153
GCF_001611135.1	ADU72_RS05720	PF01867.16	CRISPR associated protein Cas1	102.3	8.5e-32
GCF_001611135.1	ADU72_RS05725	PF09827.9	CRISPR associated protein Cas2	64.8	2.1e-20
GCF_001611135.1	ADU72_RS05710	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	158.4	1e-48
GCF_001611155.1	ADU73_RS05530	PF13280.6	WYL domain	78.5	2.1e-24
GCF_001611155.1	ADU73_RS05835	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	504.1	1.7e-153
GCF_001611155.1	ADU73_RS05835	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	157.6	1.8e-48
GCF_001611155.1	ADU73_RS05840	PF01867.16	CRISPR associated protein Cas1	102.3	8.5e-32
GCF_001611155.1	ADU73_RS05845	PF09827.9	CRISPR associated protein Cas2	64.1	3.5e-20
GCF_001611795.1	A4E84_RS08160	PF13280.6	WYL domain	113.7	3.2e-35
